"prey","Base","Vec","Rab5GDP","Rab5GTP","Enr_GDP","Enr_GTP","sEnr_GDP","sEnr_GTP","p_GDP_Vec","p_GTP_Vec","p_GTP_GDP","p_GDP_GTP","p_GDP","p_GTP","Base_diUb","Vec_diUb","diUb1","Enr_diUb","sEnr_diUb","p_Bind_diUb","Base_diUb4","Vec_diUb4","di4spUb","Enr_diUb4","sEnr_diUb4","p_Bind_diUb4"
"0610007P14Rik",209.8,0.1,0.2,0.2,0.66,0.75,-1.93,-3.32,0.03,0.001,0.179,0.821,0.024,0,228.6,0.1,0.1,-0.71,-4.45,0.03,239.9,0.1,0.2,0.34,-3.72,0.068
"0610009B22Rik",207.1,0.1,0.1,0.1,0.21,-0.39,-1.95,-3.55,0.026,0,0.145,0.855,0.022,0,232.4,0.1,0.1,-0.71,-4.44,0.029,227.3,0.1,0.2,0.67,-3.42,0.082
"0610010B08Rik",176,199.4,2630,4.1,3.72,-5.6,-0.5,-3.84,0.357,0,0.026,0.974,0.347,0,202.9,199.4,19161.1,6.59,4.53,0.951,189,199.4,7573,5.25,3.34,0.888
"0610010F05Rik",61.1,0.1,0,0,-1.23,-1.23,-2.13,-3.69,0.024,0,0.165,0.835,0.02,0,55.3,0.1,0,-1.23,-5.97,0.015,58.4,0.1,0,-1.23,-6.6,0.007
"0610030E20Rik",18,0,0,0.1,0,1.32,-2.14,-3.27,0.021,0.001,0.26,0.74,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610037L13Rik",59.7,1461.3,0,0,-14.83,-14.83,-2.24,-3.86,0.022,0,0.173,0.827,0.018,0,52.2,1461.3,0.1,-13.83,-7.09,0.009,60.9,1461.3,0.1,-13.79,-7.77,0.004
"1110004F10Rik",191,2.2,0.6,0.5,-1.75,-2.19,-2,-3.5,0.021,0,0.155,0.845,0.018,0,169.1,2.2,0.4,-2.34,-4.02,0.026,166.9,2.2,0,-5.51,-7.19,0.004
"1110008F13Rik",68.1,0.2,0.2,0.4,0.04,0.76,-1.97,-3.18,0.022,0.001,0.207,0.793,0.018,0,65.7,0.2,0,-2.33,-6.14,0.01,65.7,0.2,0,-2.33,-6.73,0.007
"1110008L16Rik",64.5,0.1,0.1,0,-0.62,-1.88,-1.92,-3.77,0.027,0,0.109,0.891,0.024,0,62.5,0.1,0.1,-0.88,-4.15,0.039,57.1,0.1,0,-1.88,-6.72,0.006
"1110012L19Rik",203.9,0.4,0.2,0.5,-0.79,0.15,-2.01,-3.2,0.024,0.001,0.218,0.782,0.019,0,195.1,0.4,0,-3.17,-6.31,0.009,194.7,0.4,0,-3.17,-6.91,0.006
"1110017D15Rik",64.3,0,0.1,0,1.92,0,-1.66,-3.72,0.057,0,0.089,0.911,0.052,0,68.5,0,0.1,1.59,-2.96,0.14,0,0,0,0,0,0
"1110032A03Rik",281.9,4.2,0.6,0.4,-2.79,-3.31,-2.05,-3.58,0.019,0,0.143,0.857,0.016,0,275.9,4.2,0.1,-4.81,-5.31,0.008,300.6,4.2,0.1,-5.36,-6.14,0.005
"1110034G24Rik",50.4,0.6,0.2,0,-1.41,-3.78,-1.92,-3.8,0.027,0,0.1,0.9,0.024,0,34.5,0.6,0,-3.78,-6.36,0.009,35.4,0.6,0.1,-2.74,-5.07,0.012
"1110037F02Rik",50.8,1.3,0.1,0,-2.88,-4.8,-2.04,-3.82,0.021,0,0.132,0.868,0.018,0,39.5,1.3,0.2,-2.8,-4.29,0.02,35.2,1.3,0,-4.8,-6.9,0.006
"1110057K04Rik",92.8,0,0.2,0.1,2.38,1.32,-1.78,-3.54,0.043,0,0.125,0.875,0.038,0,0,0,0,0,0,0,84.5,0,0.1,1.04,-4.22,0.053
"1110058L19Rik",22.5,0.1,0.1,0,0.03,-1.23,-1.85,-3.73,0.035,0,0.105,0.895,0.031,0,21.9,0.1,0,-1.23,-6.03,0.016,22.5,0.1,0,-1.23,-6.55,0.009
"1110059E24Rik",514.5,42.6,1.1,0.5,-5.19,-6.21,-2.14,-3.78,0.02,0,0.149,0.851,0.017,0,530.1,42.6,0.1,-8.15,-6.28,0.004,516.7,42.6,0.1,-8.7,-6.97,0.004
"1110059G10Rik",68.1,0,0.1,0,1.92,0,-1.67,-3.75,0.05,0,0.079,0.921,0.047,0,0,0,0,0,0,0,0,0,0,0,0,0
"1190002N15Rik",255.1,172.4,0.2,0.8,-9.38,-7.75,-2.22,-3.8,0.021,0,0.169,0.831,0.017,0,241.8,172.4,0.3,-9.16,-6.38,0.004,247,172.4,0.2,-9.69,-7.06,0.002
"1200014J11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.6,0,0.2,2.39,-2.55,0.196
"1600012H06Rik",168.3,17.5,0.2,0,-6.08,-8.45,-2.18,-3.89,0.018,0,0.136,0.864,0.015,0,162.2,17.5,0,-8.45,-6.9,0.01,150.8,17.5,0,-8.45,-7.54,0.006
"1600014C10Rik",29,9.4,0,0,-7.56,-7.56,-2.2,-3.86,0.026,0,0.164,0.836,0.022,0,23.1,9.4,0.1,-6.56,-5.88,0.007,25.3,9.4,0,-7.56,-7.33,0.003
"1700001F09Rik",87.9,0,0,0.2,0,2,-2.16,-3.1,0.027,0.002,0.295,0.705,0.019,0.001,0,0,0,0,0,0,0,0,0,0,0,0
"1700001J03Rik",39.5,0.1,0.1,0,0.16,-1.1,-1.82,-3.71,0.037,0,0.107,0.893,0.033,0,40.5,0.1,0,-1.1,-5.99,0.017,41.4,0.1,0,-1.1,-6.51,0.011
"1700001K19Rik",24.6,2.3,0,0,-5.58,-5.58,-2.15,-3.79,0.023,0,0.154,0.846,0.019,0,27,2.3,0.1,-4.58,-5.25,0.01,28.2,2.3,0,-5.58,-7.18,0.005
"1700001O22Rik",23.7,0,0.1,0,1.26,0,-1.73,-3.72,0.045,0,0.098,0.902,0.041,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001P01Rik",39.3,0,0.1,0,1.92,0,-1.62,-3.75,0.068,0,0.086,0.914,0.062,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700003M02Rik",49.6,0.1,0.1,0,0.16,-1.1,-1.83,-3.73,0.04,0,0.1,0.9,0.036,0,38.9,0.1,0,-1.1,-6.03,0.014,39.3,0.1,0,-1.1,-6.63,0.008
"1700006A11Rik",75,0,0,0.2,0,2,-2.16,-3.15,0.016,0.002,0.285,0.715,0.012,0.001,88.4,0,0.1,1,-3.78,0.067,0,0,0,0,0,0
