prey,Base_diUb,Vec_diUb,diUb1,Enr_diUb,sEnr_diUb,p_Bind_diUb
Rev1,115.5,31.1,142231.7,12.16,10.26,1
Eif5b,283.1,24.1,116757.3,12.24,10.76,1
Usp5,22.6,6,26152.6,12.07,10.24,1
Fkbp6,17.1,7.1,25499.4,11.8,9.23,1
Birc2,133.8,10.4,23302.5,11.12,9.2,0.999
Ubac1,105.9,50.6,145527.7,11.49,9.38,0.999
Tdrd3,100.3,36.7,48693.4,10.37,8.51,0.999
Mbd2,203.2,5.4,9722.6,10.79,9.02,0.999
Tax1bp1,431.6,139.1,118950.6,9.74,8.29,0.998
Tdp2,150.4,50.6,52138.9,10.01,8.13,0.998
Esr1,431.2,0.7,1094.1,10.59,7.38,0.988
Optn,57.7,0,620.9,13.6,10.34,0.985
Cav1,423.4,0.6,978,10.55,7.25,0.984
Dcun1d1,617,11.7,3902.8,8.38,6.04,0.983
Tnfaip3,60.7,0.1,76.4,9.35,6.24,0.971
OTTMUSG00000016609,161.1,170.7,17017.5,6.64,4.58,0.958
0610010B08Rik,202.9,199.4,19161.1,6.59,4.53,0.951
Cd48,60.5,21.2,1801,6.41,4.31,0.95
Kdm1a,105.6,22.7,1877,6.36,4.46,0.949
Hip1,108.6,44.5,3161.8,6.15,3.91,0.925
Luzp1,83.1,116.5,9145.2,6.29,4.1,0.921
Fam188a,155.2,31.3,1561.7,5.64,3.55,0.906
Myom1,15.8,2.3,124.3,5.73,3.51,0.903
Hps3,72.9,0,117,11.19,5.81,0.884
Srsf2,125.1,130.5,6460,5.63,3.14,0.877
Fam63b,272.2,61,1677.7,4.78,2.48,0.824
Herc4,243.8,9.7,378.5,5.28,2.57,0.819
Rsl1d1,168.1,0.2,28.2,6.66,2.77,0.816
Bcl2,151.8,0.1,17.6,7.36,2.93,0.807
Nbr1,369.9,116.3,2320.4,4.32,1.93,0.786
Slc16a4,92.4,0,29.2,9.19,3.45,0.772
Trip4,124.4,0.3,21.5,5.8,1.99,0.751
Klhl22,10.6,17,325.7,4.25,1.71,0.746
Rims1,3.9,1.6,25.6,3.96,1.53,0.722
Tubgcp2,35.5,0.1,5,5.42,1.8,0.722
Vamp4,89.9,0,10.1,7.67,2.03,0.694
Mthfd2l,39.8,5.7,60.3,3.38,1.22,0.687
Ahcy,47,0,5.6,6.82,1.69,0.659
Tbc1d15,205.1,1788,16115.2,3.17,0.89,0.643
Bcas1,28.6,13.8,112.2,3.02,0.86,0.638
Ubqln4,91,1.3,21.3,3.96,0.89,0.635
Arhgdib,445.6,90.2,936.4,3.37,0.85,0.629
Ccdc50,295.7,61.7,509.3,3.04,0.63,0.599
Poli,36.2,0.5,6.5,3.47,0.43,0.565
Cspp1,119.1,4259.3,25710.1,2.59,0.29,0.549
Svil,3.2,65.8,408.5,2.63,0.26,0.542
Tnip2,10.3,69.2,337.9,2.29,0.12,0.519
Hspa14,103.9,3.9,27.2,2.78,0.06,0.511
Ipo4,2.2,0.3,3.2,3.19,0.06,0.509
Zmym6,56.7,4.1,29.1,2.82,0.06,0.509
Rhbdd1,230.9,0,7.7,7.27,-0.01,0.499
Gm6710,48.1,0,1.4,4.86,-0.07,0.492
Cfap36,188.1,29,141.4,2.28,-0.08,0.487
Stambp,87.6,0.1,1.7,3.9,-0.17,0.478
Eif3a,1184.1,27700.7,94697.4,1.77,-0.17,0.473
Irs1,175.7,0.3,4.3,3.5,-0.29,0.457
Thrb,61.3,159.8,550.6,1.78,-0.37,0.439
Sh3glb1,335.1,17,64.6,1.93,-0.48,0.42
Fam71f1,52.7,0.1,0.9,2.94,-0.56,0.418
Jak1,329.4,2.5,14.1,2.45,-0.52,0.416
Psmd6,217,0.2,2.5,3.1,-0.67,0.398
Tmc7,26.3,0,0.7,3.81,-0.94,0.385
Etf1,340.8,8.1,31.1,1.94,-0.7,0.38
Isl1,5.1,0,0.2,2.32,-1.21,0.358
Gm14391,50.5,0,0.8,4,-1.22,0.351
Zfhx3,19,26,53.2,1.03,-0.9,0.349
Rmi1,100.9,7.2,18.9,1.39,-0.9,0.348
Col1a2,258.3,409.3,778.6,0.93,-0.95,0.346
Thbs3,2.1,0,0.1,1.59,-1.47,0.329
Alx1,20.1,0.8,2,1.27,-1.04,0.327
Sprr2f,19.4,0,0.3,2.59,-1.53,0.312
Fdx1,11.1,0,0.2,2,-1.65,0.301
Gm5458,89.3,0.1,0.7,2.58,-1.47,0.295
Vcpkmt,1.4,0,0.1,1.59,-1.75,0.29
Rad51ap1,14.3,161,415.1,1.37,-1.27,0.289
Ralb,14.8,0,0.2,2.32,-1.65,0.289
AI607873,10.6,0,0.2,2,-1.83,0.272
Mrgbp,2.4,0,0.1,1.59,-1.85,0.271
Gad2,3.6,0,0.1,1.59,-1.89,0.269
Ndufaf3,6.3,0,0.2,2,-1.87,0.267
Igfbp3,24.7,0,0.2,2.32,-1.9,0.266
Kdm3b,53.8,0,0.4,3.17,-1.93,0.266
Fip1l1,3.3,517.6,728.7,0.49,-1.49,0.264
Ctnnd2,54.3,0.1,0.3,1.71,-1.69,0.262
Churc1,2.2,0,0.1,1.59,-1.99,0.261
Myo1c,65.8,0,0.3,2.59,-2.08,0.248
Hfm1,14.5,99.4,114.8,0.21,-1.52,0.246
Rgcc,10.2,0,0.1,1.59,-2.11,0.243
Lnx1,17.2,183,251.1,0.46,-1.53,0.243
Creg2,8.8,0,0.1,1.59,-2.07,0.242
Vps37c,19.4,0,0.2,2,-2.14,0.242
1700008F21Rik,290.1,104,133,0.35,-1.58,0.24
Calcr,4.4,0,0.1,1.59,-2.13,0.24
Rasa2,84.3,22386.5,28696.3,0.36,-1.6,0.236
Zfp316,0.9,0,0.1,1,-2.24,0.235
Pqlc1,11,0,0.1,1.59,-2.21,0.234
Pptc7,81.1,0.1,0.3,1.71,-1.9,0.232
Ndufs8,9.9,0,0.1,1.59,-2.18,0.232
Fam189b,5.2,0.1,0.2,0.77,-1.94,0.23
Fam46a,94.8,0.1,0.4,1.94,-1.9,0.226
G630090E17Rik,11.3,0,0.1,1.59,-2.39,0.224
Pcolce2,64.1,0,0.2,2.32,-2.26,0.224
Nln,27.4,0,0.2,2,-2.26,0.223
Inca1,26.9,0,0.2,2,-2.29,0.222
Bsg,9,0,0.1,1.59,-2.25,0.219
Zfp82,10.4,0,0.1,1.59,-2.26,0.219
Plet1,73.4,0,0.3,2.59,-2.24,0.219
Rlbp1,7.7,0,0.1,1.59,-2.31,0.219
Ccdc78,0.2,0,0.1,1,-2.45,0.219
Zfp772,22.4,0,0.2,2,-2.34,0.217
Snx32,12.6,0,0.1,1.59,-2.29,0.215
Ncam2,7.4,0,0.1,1.59,-2.36,0.214
Cideb,75.9,0,0.3,2.81,-2.25,0.213
Mrpl40,10.2,0,0.1,1.59,-2.37,0.211
Rpl34-ps1,16,0,0.1,1.59,-2.35,0.211
Zbtb34,14.4,0,0.1,1.59,-2.36,0.211
Poll,1.9,0,0.1,1,-2.49,0.207
Terf2ip,11,0,0.1,1.59,-2.38,0.206
Tst,7.3,0,0.1,1.59,-2.34,0.206
Cfl1,12.3,0,0.1,1.59,-2.39,0.205
Ndufb11,14.3,0,0.1,1.59,-2.37,0.205
Ccdc148,17.2,0,0.1,1.59,-2.37,0.205
AI593442,62,0,0.2,2.32,-2.38,0.205
