prey,Base_diUb4,Vec_diUb4,di4spUb,Enr_diUb4,sEnr_diUb4,p_Bind_diUb4
Mysm1,27.3,13.4,120081.7,13.12,11.13,1
Hip1,121.8,44.5,193598.1,12.09,10.66,1
Dcun1d1,623,11.7,50519.2,12.08,10.44,1
Fam188a,152.3,31.3,45294.4,10.5,9.11,0.999
Tdp2,146.2,50.6,105485.6,11.02,9.48,0.999
Rev1,80.1,31.1,35416.2,10.15,8.42,0.999
Aup1,1.5,0.1,357.3,10.92,9.25,0.999
Eif5b,253.5,24.1,26765.7,10.11,8.33,0.998
Tax1bp1,479.1,139.1,119866.2,9.75,8.13,0.998
Uimc1,70.7,0.1,662.5,12.46,9.78,0.996
Stambp,98.3,0.1,554.5,12.21,9.24,0.994
Eps15,187.3,1.1,1147.1,9.98,7.83,0.994
Ubac1,88.1,50.6,32115.1,9.31,7.43,0.993
Khdc1c,2.2,0,298.3,12.54,12.37,0.992
Tdrd3,92.6,36.7,12507.1,8.41,6.55,0.989
Poli,32.2,0.5,144.4,7.94,5.81,0.977
Khdc1a,3.4,0,198,11.95,10.19,0.975
Ppp1r3a,10.8,0,157.1,11.62,9.09,0.966
Smchd1,154.4,13.7,1754.6,6.99,4.98,0.957
Tab2,192.7,0.5,205.7,8.48,5.5,0.953
Rtel1,38,0,119.7,11.23,7.53,0.948
Kdm1a,100,22.7,1273,5.8,3.96,0.922
9130401M01Rik,2.9,0,21.3,8.74,7.08,0.921
OTTMUSG00000016609,134.5,170.7,6698.1,5.29,3.45,0.9
Luzp1,78.2,116.5,5727.8,5.62,3.46,0.898
0610010B08Rik,189,199.4,7573,5.25,3.34,0.888
Cav1,414.7,0.6,118.3,7.5,3.6,0.872
Lrrc42,73,0.1,20.2,7.43,3.89,0.872
Tbc1d15,323,1788,77387.5,5.44,2.52,0.83
Tsn,133.3,0.2,22.2,6.32,2.71,0.821
Nrg3,3.2,0,5.1,6.69,3.42,0.753
Selt,334.1,282,4037.2,3.84,1.69,0.743
Herc4,234.3,9.7,192.5,4.3,1.61,0.732
2310033P09Rik,4.3,3.7,61.2,4.02,1.62,0.729
Exosc2,7.7,0,4.2,6.42,2.75,0.719
Khdc1b,4.3,0,2.3,5.57,2.48,0.71
Col1a2,246.7,409.3,4135.2,3.34,1.19,0.683
Pkhd1l1,8.3,0,4.2,6.42,2.06,0.679
Mrc2,0.4,0,0.7,3.88,2.24,0.678
Habp4,24.1,0,4.1,6.38,1.7,0.646
Ccdc50,302.9,61.7,586.9,3.25,0.79,0.62
Kif14,2.1,0.6,5.8,3.22,0.69,0.601
Fam63b,280.9,61,513.2,3.07,0.64,0.6
Fkbp6,11.2,7.1,73.9,3.37,0.57,0.591
Mtfr1,261.1,3.7,42.7,3.49,0.55,0.584
Sdcbp,658.9,2.6,36.2,3.79,0.46,0.567
Gm1527,42.7,0.1,1.8,3.98,0.35,0.545
Eef1a1,36.9,0,2,5.36,0.2,0.52
Usp5,19.1,6,40.9,2.76,0.11,0.517
Hspa5,299.7,4105.6,21028.8,2.36,0.08,0.513
Mycbp2,242.3,2029,9059.9,2.16,0,0.5
Eif3a,1412.3,27700.7,93088.6,1.75,-0.34,0.447
Naprt,0.7,0,0.2,2.06,-0.51,0.446
Birc2,124,10.4,49.7,2.25,-0.36,0.442
1700029H14Rik,48.5,27.2,121.4,2.16,-0.42,0.434
Kat6b,30.8,0,0.8,4.07,-0.81,0.406
Arf1,43.9,2.8,10.1,1.81,-0.74,0.378
Uchl1,1.9,0,0.2,2.06,-1.19,0.365
Dennd5b,59.9,0,0.7,3.98,-1.32,0.349
Trib2,133,4.9,16.3,1.73,-0.99,0.346
Synpr,136.9,1.2,5.3,2.14,-0.99,0.345
Thrb,61.8,159.8,412.2,1.37,-0.93,0.345
Wdr70,8.9,0,0.3,2.65,-1.34,0.344
Rgs17,64.5,1.8,5.5,1.62,-1.03,0.333
Ppara,15.3,0.1,0.3,1.78,-1.25,0.33
Cfap36,180.3,29,63.7,1.13,-1.11,0.319
Gstt2,22.3,0,0.3,2.65,-1.58,0.308
Zmpste24,185.5,0,0.9,4.25,-1.61,0.307
Lancl1,142.5,0.3,1.4,2.16,-1.35,0.301
Gm6710,47.3,0,0.4,3.24,-1.66,0.3
Elovl3,10.1,0,0.2,2.39,-1.89,0.284
Stoml2,2.3,5.2,6.9,0.4,-1.3,0.283
Mup7,45.6,0,0.3,2.65,-1.89,0.275
A430005L14Rik,10.4,0,0.2,2.06,-2.01,0.273
Nedd8,8.6,1164.9,1642.9,0.5,-1.44,0.272
Stat6,53.4,0,0.3,2.65,-2,0.268
Scamp4,6.2,0,0.2,2.06,-2.01,0.266
Maea,11.6,0,0.2,2.06,-2.07,0.26
Akap17b,56.1,0,0.3,2.65,-2.14,0.252
Gadd45a,12.1,0,0.2,2.06,-2.21,0.244
Spata3,35.3,0.3,0.7,0.93,-1.76,0.24
Mmp15,0.3,0,0.1,1.04,-2.48,0.23
Senp2,60.9,0,0.2,2.39,-2.37,0.227
Prkra,69,0,0.3,2.65,-2.33,0.223
Wrn,19.2,0,0.2,2.06,-2.35,0.22
Hap1,0.5,0,0.1,1.04,-2.55,0.219
Zfp668,1.4,0,0.1,1.04,-2.54,0.215
Rhpn2,22.4,0,0.2,2.06,-2.46,0.213
