prey,Base,Vec,Rab5GDP,Rab5GTP,Enr_GDP,Enr_GTP,sEnr_GDP,sEnr_GTP,p_GDP_Vec,p_GTP_Vec,p_GTP_GDP,p_GDP_GTP,p_GDP,p_GTP
Ipo4,2.8,0.3,0,691.5,-2.83,10.92,-2.22,7.58,0.023,0.994,0.999,0.001,0,0.993
Inpp5b,110.7,2.5,0.1,1682,-3.76,9.35,-2.14,6.38,0.019,0.988,0.997,0.003,0,0.985
Bcat1,154.9,66.9,0.1,20652.4,-8.46,8.27,-2.22,6.14,0.017,0.985,0.997,0.003,0,0.982
Pcgf6,170.4,0.2,0.1,360.6,-0.61,10.29,-2.13,5.29,0.024,0.947,0.987,0.013,0,0.935
Ik,153.6,0.2,0.5,364.2,1.22,10.62,-1.99,4.95,0.022,0.943,0.988,0.012,0,0.932
Eif3f,87.8,19.9,0.1,3339.4,-6.72,7.39,-2.23,4.55,0.021,0.946,0.985,0.015,0,0.931
Smu1,180.9,0.6,0.7,364.6,0.27,9.2,-2.02,3.63,0.027,0.888,0.968,0.032,0.001,0.86
Mmgt1,86,0.1,0.1,81.6,0.16,9.57,-2.11,2.35,0.023,0.72,0.868,0.132,0.003,0.625
Hnrnpr,105.8,0.1,0.1,37.2,0.82,8.44,-2.14,0.3,0.02,0.538,0.795,0.205,0.004,0.428
Trim30d,9.7,0.1,0.1,8.8,0.16,6.37,-2.06,0.23,0.027,0.53,0.782,0.218,0.006,0.414
Nub1,31.3,0,0,35.1,0,9.46,-2.2,-0.1,0.019,0.49,0.7,0.3,0.006,0.343
Alcam,306.9,312.2,0.3,8207.7,-9.89,4.72,-2.22,-0.36,0.02,0.44,0.766,0.234,0.005,0.337
Bckdhb,52.5,0,0.1,204.1,1.92,12,-2.15,-0.41,0.024,0.453,0.704,0.296,0.007,0.319
Reep5,287,785.4,0.8,13152.2,-9.91,4.07,-2.24,-0.71,0.021,0.369,0.741,0.259,0.005,0.273
Fam174b,108.1,16.8,0.1,338.7,-6.47,4.33,-2.22,-0.85,0.022,0.346,0.732,0.268,0.006,0.253
Stambp,91.8,0.1,0.1,21.3,0.69,7.51,-2.18,-0.88,0.024,0.353,0.714,0.286,0.007,0.252
Pald1,17.1,0,0,18.6,0,8.54,-2.2,-1.01,0.02,0.364,0.673,0.327,0.007,0.245
Ykt6,67.2,254.3,0.1,3367,-11.05,3.73,-2.23,-0.93,0.021,0.327,0.728,0.272,0.006,0.238
Timp3,311.4,89.1,0.8,1243.2,-6.65,3.8,-2.25,-1.07,0.016,0.294,0.717,0.283,0.004,0.211
Ddx10,84.5,372.2,9.4,5285.5,-5.31,3.83,-2.23,-1.1,0.021,0.278,0.709,0.291,0.006,0.197
Pcp4l1,49.9,0,0,31.6,0,9.31,-2.23,-1.48,0.022,0.263,0.64,0.36,0.008,0.168
Rabep1,146.6,838.2,0.1,10097.9,-12.11,3.59,-2.2,-1.29,0.018,0.234,0.684,0.316,0.006,0.16
Nexn,89.6,306.2,0.2,3090.9,-10.2,3.34,-2.19,-1.33,0.021,0.227,0.684,0.316,0.007,0.155
Clic5,266,13.3,0.6,158,-4.29,3.57,-2.21,-1.61,0.022,0.157,0.642,0.358,0.008,0.101
Cs,404.1,12386.8,1592.5,109581.1,-2.96,3.15,-2.15,-1.61,0.02,0.156,0.627,0.373,0.008,0.098
Zfp868,160.1,2038.6,0.6,14336.8,-11.55,2.81,-2.21,-1.87,0.021,0.107,0.594,0.406,0.008,0.063
Itga6,250.6,168.6,0.3,1279.7,-8.72,2.92,-2.25,-1.91,0.019,0.099,0.604,0.396,0.008,0.06
Uba1,136.4,19.4,0.3,120.9,-5.61,2.63,-2.25,-1.98,0.014,0.087,0.582,0.418,0.006,0.051
Fus,1.4,0,0,1.9,0,5.27,-2.23,-2.23,0.018,0.081,0.535,0.465,0.008,0.043
Dnajb1,55,632.4,10.4,3279.2,-5.92,2.37,-2.24,-2.02,0.02,0.072,0.572,0.428,0.008,0.041
Smchd1,166.2,13.7,0.2,97.3,-5.73,2.82,-2.21,-2.13,0.021,0.06,0.54,0.46,0.01,0.033
Itih4,11,28.6,0,127.1,-9.16,2.15,-2.24,-2.21,0.02,0.046,0.534,0.466,0.009,0.025
Ell,2.1,0,0,1.4,0,4.89,-2.24,-2.4,0.017,0.045,0.498,0.502,0.009,0.023
Klhl2,121.5,42.3,0.1,172.7,-8.46,2.03,-2.23,-2.28,0.023,0.042,0.514,0.486,0.011,0.021
