bait,prey,interactor
Rab5GTP,Inpp5b,1
Rab5GTP,Pcgf6,0
Rab5GTP,Alcam,0
Rab5GTP,Rabep1,1
Rab5GTP,Nexn,0
Rab5GTP,Ddx10,0
Rab5GTP,Cntn1,0
Rab5GTP,Rpn2,0
Rab5GTP,Sgip1,0
Rab5GTP,Papolb,0
Rab5GDP,Inpp5b,0
Rab5GDP,Pcgf6,0
Rab5GDP,Alcam,0
Rab5GDP,Rabep1,0
Rab5GDP,Nexn,0
Rab5GDP,Ddx10,0
Rab5GDP,Cntn1,0
Rab5GDP,Rpn2,0
Rab5GDP,Sgip1,0
Rab5GDP,Papolb,1
EMPTY,Inpp5b,0
EMPTY,Pcgf6,0
EMPTY,Alcam,0
EMPTY,Rabep1,0
EMPTY,Nexn,1
EMPTY,Ddx10,1
EMPTY,Cntn1,0
EMPTY,Rpn2,0
EMPTY,Sgip1,0
EMPTY,Papolb,0
diUb1,Rev1,1
diUb1,Usp5,1
diUb1,Fkbp6,1
diUb1,Birc2,1
diUb1,Ubac1,1
diUb1,Tdp2,1
diUb1,Dcun1d1,1
diUb1,Tdrd3,1
diUb1,Optn,1
diUb1,Tax1bp1,1
diUb1,Cd48,0
diUb1,Hip1,1
diUb1,Fam188a,1
diUb1,Herc4,1
diUb1,Fam63b,1
diUb1,Nbr1,1
diUb1,Tbc1d15,1
diUb1,Arhgdib,0
diUb1,Poli,1
diUb1,Ccdc50,1
diUb1,Stambp,1
diUb1,FAM189b,0
diUb1,Uimc1,1
diUb1,N4bp2,1
diUb1,Amfr,1
diUb1,Eps15,1
diUb1,Mysm1,1
diUb1,Khdc1c,1
di4spUb,Rev1,1
di4spUb,Usp5,1
di4spUb,Fkbp6,1
di4spUb,Birc2,1
di4spUb,Ubac1,1
di4spUb,Tdp2,1
di4spUb,Dcun1d1,1
di4spUb,Tdrd3,1
di4spUb,Optn,1
di4spUb,Tax1bp1,1
di4spUb,Cd48,0
di4spUb,Hip1,1
di4spUb,Fam188a,1
di4spUb,Herc4,1
di4spUb,Fam63b,1
di4spUb,Nbr1,1
di4spUb,Tbc1d15,1
di4spUb,Arhgdib,0
di4spUb,Poli,1
di4spUb,Ccdc50,1
di4spUb,Stambp,1
di4spUb,FAM189b,0
di4spUb,Uimc1,1
di4spUb,N4bp2,1
di4spUb,Amfr,1
di4spUb,Eps15,1
di4spUb,Mysm1,1
di4spUb,Khdc1c,1
