bait (F[1,2])	prey (F[3])	DMSO	FK506	H2O2	NaCl	CuSO4
IMD3	IMD3	1.0783443246914	0.87507476631912	0.92797020392432	0.803138678110373	1.05389963528372
HOM3	FPR1	1.02904050966939	0.0909538918811011	0.858900966720611	0.7817702764615	0.955197997948574
SHR3	SHR3	1.00810875743071	0.823045556831187	0.84758824117868	0.739696666635707	0.954580599760307
PRS3	PRS3	0.936990187241653	0.76783596182856	0.795029397864493	0.66703724323596	0.89383551962492
DBP2	DBP2	0.587833425736803	0.422897703601862	0.495054158415862	0.531406927587167	0.520381686792758
TPO1	HXT1	0.507038284187493	0.607628412021013	0.387579369217	0.401451229872307	0.318790857305349
TPO1	PDR5	0.407839735848909	0.651629966109091	0.294680643574338	0.298463898123773	0.28941810024271
DST1	RPB9	0.218688722226733	0.1463019719162	0.153669399775976	0.136468181800336	0.112693273161127
FTR1	HXT1	0.205431699604574	0.0897848928593492	0.373065771722219	0.35491949657156	0.982582532634453
PRS3	FPR1	0.11770824925373	0.0411115291387394	0.0927242592286356	0.0621795403908376	0.0798943063276098
FMP45	HXT1	0.108120271230961	-0.00466214654943255	0.0354680923640038	0.37589014500374	0.106575043746328
FTR1	PDR5	0.103760085149745	0.107670752782266	0.157084634679046	0.186815961194006	0.464044164987264
SHR3	HXT1	0.0965513113407185	0.0540655775159769	0.0883554198957942	0.148114963491184	0.113324484341012
PRS3	SHR3	0.0949404433258729	0.0847096682549921	0.0834252208859383	0.0458730799523913	0.0694924222190224
TPO1	SNQ2	0.0775340655675097	0.169405672045582	0.0217421816391209	0.0374998192771041	0.00299064150891205
PRS3	PDR5	0.0677178965421004	0.0339067018418825	0.0743289165389833	0.0241833722408252	0.0875556893067857
ho::NatMX	PRS3	0.0672747259860602	0.0312548370721534	0.0196659538729331	0.0243990084720712	0.072384080888554
FMP45	PDR5	0.0647840753949897	0.0290949958421866	0.0353723060890526	0.196499384576645	0.0917453323054236
PRS3	RPB9	0.0600216156259472	0.00296680959454806	-0.0189689735754969	-0.0531017403296276	0.00124782107432235
PRS3	ho::HphMX	0.0584516337970915	-0.00935029902150781	0.0583716516376256	-0.0113321933880187	0.0595439615159963
ho::NatMX	DBP2	0.0563805224620844	0.0078835932057841	0.037091395885943	-0.0106145624460415	0.0346337890229494
PRS3	HXT1	0.052514112874018	0.0238412518679667	0.0197281187258802	-0.0298851695498359	0.0512219678646918
HOM3	PRS3	0.0523144343803376	-0.0327408959778485	0.0354444654985643	0.0245218493553183	-0.0128826340552706
SHR3	DBP2	0.0433148487694109	0.0022254014732737	-0.00988964306798708	-0.0192881261056205	-0.0191276361124064
SHR3	FPR1	0.0404938797959092	-0.00796213066795341	-0.0398837241724822	0.0219228549289417	-0.00663396053002064
