"prey","bait","Enrichment_score","Specificity_score","Sum_scores","Borda_scores"
"DBP2-F[1,2]_DBP2-F[3]","CuSO4",0.946648,0,0.946648,2.33644859813084
"DBP2-F[1,2]_DBP2-F[3]","DMSO",0.950648,0.18796380952381,1.13861180952381,4.13223140495868
"DBP2-F[1,2]_DBP2-F[3]","FK506",0.948324,0.0529150295857988,1.0012390295858,2.710027100271
"DBP2-F[1,2]_DBP2-F[3]","H2O2",0.952972,0.291185625,1.244157625,6.09756097560976
"DBP2-F[1,2]_DBP2-F[3]","NaCl",0.955296,0.743125555555556,1.69842155555556,29.4117647058824
"DBP2-F[1,2]_FPR1-F[3]","CuSO4",0.736648,0,0.736648,1.87265917602996
"DBP2-F[1,2]_FPR1-F[3]","DMSO",0.772648,0.106190588235294,0.878838588235294,2.48756218905473
"DBP2-F[1,2]_FPR1-F[3]","FK506",0.802972,0.118691597633136,0.921663597633136,2.66666666666667
"DBP2-F[1,2]_FPR1-F[3]","H2O2",0.824972,0.27020625,1.09517825,4.0983606557377
"DBP2-F[1,2]_FPR1-F[3]","NaCl",0.826648,0.278132544378698,1.1047805443787,4.23728813559322
"DBP2-F[1,2]_ho::HphMX","CuSO4",0.092324,0,0.092324,1.16686114352392
"DBP2-F[1,2]_ho::HphMX","DMSO",0.080648,0.00866666666666667,0.0893146666666667,1.17096018735363
"DBP2-F[1,2]_ho::HphMX","FK506",0.066972,0.133954545454545,0.200926545454545,1.38312586445367
"DBP2-F[1,2]_ho::HphMX","H2O2",0.06962,0.483590082644628,0.553210082644628,1.91204588910134
"DBP2-F[1,2]_ho::HphMX","NaCl",0.085296,0.230089795918367,0.315385795918367,1.54320987654321
"DBP2-F[1,2]_HXT1-F[3]","CuSO4",0.284648,0,0.284648,1.31233595800525
"DBP2-F[1,2]_HXT1-F[3]","DMSO",0.253122222222222,0.0598776859504132,0.312999908172635,1.41242937853107
"DBP2-F[1,2]_HXT1-F[3]","FK506",0.256648,0.015976,0.272624,1.31752305665349
"DBP2-F[1,2]_HXT1-F[3]","H2O2",0.30162,0.575424489795918,0.877044489795918,2.60416666666667
"DBP2-F[1,2]_HXT1-F[3]","NaCl",0.268972,0.133375619834711,0.402347619834711,1.59744408945687
"DBP2-F[1,2]_IMD3-F[3]","CuSO4",0.060324,0,0.060324,1.14285714285714
"DBP2-F[1,2]_IMD3-F[3]","DMSO",0.040324,0.027551875,0.067875875,1.18343195266272
"DBP2-F[1,2]_IMD3-F[3]","FK506",0.023296,0.249546492271106,0.272842492271106,1.5220700152207
"DBP2-F[1,2]_IMD3-F[3]","H2O2",0.019296,0.482907107438017,0.502203107438017,1.82149362477231
"DBP2-F[1,2]_IMD3-F[3]","NaCl",0.01762,0.548306944444444,0.565926944444444,1.8796992481203
"DBP2-F[1,2]_PDR5-F[3]","CuSO4",0.234648,0,0.234648,1.26742712294043
"DBP2-F[1,2]_PDR5-F[3]","DMSO",0.21562,0.4222,0.63782,2.14132762312634
"DBP2-F[1,2]_PDR5-F[3]","FK506",0.216648,0.090574,0.307222,1.42857142857143
"DBP2-F[1,2]_PDR5-F[3]","H2O2",0.226648,0.031453125,0.258101125,1.33333333333333
"DBP2-F[1,2]_PDR5-F[3]","NaCl",0.228972,0.133768595041322,0.362740595041322,1.5527950310559
"DBP2-F[1,2]_PRS3-F[3]","CuSO4",0.206648,0,0.206648,1.24378109452736
"DBP2-F[1,2]_PRS3-F[3]","DMSO",0.231296,0.02770125,0.25899725,1.33511348464619
"DBP2-F[1,2]_PRS3-F[3]","FK506",0.296324,0.40618625,0.70251025,2.32558139534884
"DBP2-F[1,2]_PRS3-F[3]","H2O2",0.259296,0.107428148148148,0.366724148148148,1.5220700152207
"DBP2-F[1,2]_PRS3-F[3]","NaCl",0.262972,0.0706869135802469,0.333658913580247,1.43884892086331
"DBP2-F[1,2]_RPB9-F[3]","CuSO4",0.668648,0,0.668648,1.74216027874564
"DBP2-F[1,2]_RPB9-F[3]","DMSO",0.664648,0.230518775510204,0.895166775510204,2.80112044817927
"DBP2-F[1,2]_RPB9-F[3]","FK506",0.796972,0.43370962962963,1.23068162962963,5.84795321637427
"DBP2-F[1,2]_RPB9-F[3]","H2O2",0.763296,0.455809795918367,1.21910579591837,5.49450549450549
"DBP2-F[1,2]_RPB9-F[3]","NaCl",0.624648,0.04619375,0.67084175,1.86219739292365
"DBP2-F[1,2]_SHR3-F[3]","CuSO4",0.142648,0.0328025,0.1754505,1.26742712294043
"DBP2-F[1,2]_SHR3-F[3]","DMSO",0.170324,0,0.170324,1.21359223300971
"DBP2-F[1,2]_SHR3-F[3]","FK506",0.191296,0.29020625,0.48150225,1.83150183150183
"DBP2-F[1,2]_SHR3-F[3]","H2O2",0.159296,0.38860132231405,0.54789732231405,1.96463654223969
"DBP2-F[1,2]_SHR3-F[3]","NaCl",0.174648,0.152754710743802,0.327402710743802,1.53374233128834
"DBP2-F[1,2]_SNQ2-F[3]","CuSO4",0.270648,0.0135408,0.2841888,1.32450331125828
"DBP2-F[1,2]_SNQ2-F[3]","DMSO",0.194972,0,0.194972,1.230012300123
"DBP2-F[1,2]_SNQ2-F[3]","FK506",0.379296,0.4898925,0.8691885,2.73972602739726
"DBP2-F[1,2]_SNQ2-F[3]","H2O2",0.366972,0.390319338842975,0.757291338842975,2.5
"DBP2-F[1,2]_SNQ2-F[3]","NaCl",0.222324,0.0372459259259259,0.259569925925926,1.34048257372654
"DST1-F[1,2]_DBP2-F[3]","CuSO4",0.480972,0.0245679012345679,0.505539901234568,1.58982511923688
"DST1-F[1,2]_DBP2-F[3]","DMSO",0.446972,0.289509375,0.736481375,2.38095238095238
"DST1-F[1,2]_DBP2-F[3]","FK506",0.530972,0.349439583333333,0.880411583333333,2.91545189504373
