"","bait","prey","Enrichment_score","Specificity_score","Sum_scores","Borda_scores","interactor","Interaction_score"
"1","ADRM1","ADRM1",0.066440146567718,0,0.066440146567718,1.45697848924462,1,0
"2","ADRM1","ARL2",0.0183910511363636,0,0.0183910511363636,1.4233353695785,NA,0
"3","ADRM1","BCL2L2",0,0.0389592871061519,0.0389592871061519,1.50965401062589,NA,0
"4","ADRM1","BIK",0.373150701871658,0.224372670282723,0.597523372154381,3.05854555001313,NA,0
"5","ADRM1","BNIP3",0.457058412247475,0.0904917892764644,0.547550201523939,2.25251353441609,NA,0
"6","ADRM1","BNIP3L",0.571547048611111,0.084368483272278,0.655915531883389,2.39662620859905,NA,0
"7","ADRM1","BRMS1",0,0.305289318173561,0.305289318173561,2.48453828108339,NA,0
"8","ADRM1","BTG1",0,0.10524382438747,0.10524382438747,1.70446232626189,NA,0
"9","ADRM1","CCL14",0.0766064393939394,0,0.0766064393939394,1.44236721555033,NA,0
"10","ADRM1","CCND2",0.0544550978535354,0,0.0544550978535354,1.42542518047229,NA,0
"11","ADRM1","CCND3",0.643728807050093,0.0504278684169566,0.694156675467049,2.245566692367,NA,0
"12","ADRM1","CDK4",0.198162729128015,0,0.198162729128015,1.51475750877649,NA,0
"13","ADRM1","CDK6",0.157678421150278,0,0.157678421150278,1.48407643312102,NA,0
"14","ADRM1","CDKN1A",0.447983001893939,0.125599484653045,0.573582486546985,2.47188627201358,NA,0
"15","ADRM1","CDKN2D",0.148088857323232,0,0.148088857323232,1.47263304259891,NA,0
"16","ADRM1","CEP55",0,0.0640436110150939,0.0640436110150939,1.50750517598344,NA,0
"17","ADRM1","CNOT7",0,0.0952541362205007,0.0952541362205007,1.60357880247763,NA,0
"18","ADRM1","DAPK1",0.00676657196969697,0,0.00676657196969697,1.37723135122355,NA,0
"19","ADRM1","DDX39A",0.445263446969697,0.0396331951370585,0.484896642106755,1.92625661375661,NA,0
"20","ADRM1","DMRTB1",0,0.080516890903773,0.080516890903773,1.53430791518504,NA,0
"21","ADRM1","EIF4EBP2",0.10524906864564,0,0.10524906864564,1.42979872361316,NA,0
"22","ADRM1","EXOSC1",0.0552918718434343,0,0.0552918718434343,1.39721755816743,NA,0
"23","ADRM1","EXOSC5",0.46799912042503,0.131575443337628,0.599574563762657,2.54811898512686,NA,0
"24","ADRM1","GAA",0.00279704861111111,0,0.00279704861111111,1.36193593640402,NA,0
"25","ADRM1","IGF2",0,0.143565321279573,0.143565321279573,1.68963016678753,NA,0
"26","ADRM1","IKZF1",0.0933290561868687,0,0.0933290561868687,1.40938785385918,NA,0
"27","ADRM1","IKZF5",0.0799380366161616,0,0.0799380366161616,1.39956751561749,NA,0
"28","ADRM1","KLF3",0.97825246567718,0.118761274873387,1.09701374055057,3.95585738539898,NA,0
"29","ADRM1","lam",0.387639488636364,0.0372127649955015,0.424852253631865,1.85214626391097,NA,0
"30","ADRM1","largeT",0.190834232954545,0,0.190834232954545,1.46136477671851,NA,0
"31","ADRM1","LSM2",0.0815978237476809,0,0.0815978237476809,1.3910447761194,NA,0
"32","ADRM1","LSM3",0.18738639520202,0,0.18738639520202,1.45207528355977,NA,0
"33","ADRM1","MME",0.165694744318182,0,0.165694744318182,1.43419918749231,NA,0
"34","ADRM1","MORF4L1",0.387172048611111,0.0915040031370219,0.478676051748133,2.15660866345798,NA,0
"35","ADRM1","MRFAP1",0.668060464015152,0.152563130990408,0.820623595005559,3.26330532212885,NA,0
"36","ADRM1","MRFAP1L1",0.0419286623376623,0,0.0419286623376623,1.35575468404515,NA,0
"37","ADRM1","MTA1",0.38514466540404,0.0562193212223631,0.441363986626403,1.9449081803005,NA,0
"38","ADRM1","NMI",0,0.0837571089662345,0.0837571089662345,1.43827160493827,NA,0
"39","ADRM1","OR10AG1",0.245858135435993,0,0.245858135435993,1.4698460762049,NA,0
"40","ADRM1","p53",0.0125929924242424,0,0.0125929924242424,1.32915002852253,NA,0
"41","ADRM1","PCNA",0.0772366161616162,0,0.0772366161616162,1.36209517128493,NA,0
"42","ADRM1","PIAS1",0.365503470365419,0.170862039941924,0.536365510307343,2.64532243415077,NA,0
"43","ADRM1","PPID",0.577500601051841,0.190354396765043,0.767854997816884,3.38171262699565,NA,0
"44","ADRM1","PSMC1",0.0110124368686869,0,0.0110124368686869,1.31787330316742,1,0
"45","ADRM1","PSMC2",0.00163743686868687,0,0.00163743686868687,1.30987182370137,1,0
"46","ADRM1","PSMD2",0.122998500631313,0,0.122998500631313,1.37333490510433,1,0
"47","ADRM1","PSMD5",0.0683092838589981,0,0.0683092838589981,1.34015874841827,1,0
"48","ADRM1","QKI",0.620165194805195,0.129410718618958,0.749575913424153,2.86663385826772,NA,0
"49","ADRM1","RBBP4",0,0.155186930876008,0.155186930876008,1.56712402475114,NA,0
"50","ADRM1","RBFOX2",0,0.0481091637438604,0.0481091637438604,1.28275710195992,NA,0
"51","ADRM1","RBPMS",0.557073910984848,0.0938822214944863,0.650956132479335,2.44081290592919,NA,0
"52","ADRM1","REEP2",0.366846514780155,0,0.366846514780155,1.50984966303784,NA,0
