"","bait","prey","interactor"
"1","ADRM1","ADRM1",1
"2","ADRM1","CTBP1",0
"3","ADRM1","PSMC1",1
"4","ADRM1","PSMC2",1
"5","ADRM1","PSMD2",1
"6","ADRM1","PSMD5",1
"7","ADRM1","UCHL5",1
"8","AP2B1","RBBP4",0
"9","AP2B1","TOPBP1",0
"10","ARL2","CTBP1",0
"11","BCL2L2","BIK",1
"12","BCL2L2","BNIP3",1
"13","BCL2L2","CDKN2D",0
"14","BCL2L2","IKZF1",0
"15","BCL2L2","S100B",1
"16","BCL2L2","TEX11",1
"17","BIK","BCL2L2",1
"18","BIK","BNIP3",1
"19","BIK","IKZF5",0
"20","BIK","PSMD2",0
"21","BIK","S100A1",1
"22","BIK","VAMP3",1
"23","BNIP3","BCL2L2",1
"24","BNIP3","BIK",1
"25","BNIP3","BNIP3",1
"26","BNIP3","BNIP3L",1
"27","BNIP3","IKZF1",0
"28","BNIP3","REEP2",1
"29","BNIP3L","BNIP3",1
"30","BNIP3L","BNIP3L",1
"31","BNIP3L","CDKN2D",0
"32","BNIP3L","DAPK1",0
"33","BNIP3L","DMRTB1",0
"34","BNIP3L","EXOSC1",0
"35","BNIP3L","EXOSC5",0
"36","BNIP3L","QKI",0
"37","BNIP3L","RBFOX2",0
"38","BNIP3L","RBPMS",0
"39","BNIP3L","SH3GLB1",0
"40","BNIP3L","TSG101",0
"41","BNIP3L","UBE2I",0
"42","BRMS1","BRMS1",1
"43","BRMS1","CNOT7",1
"44","BRMS1","LSM3",0
"45","BRMS1","NMI",1
"46","BRMS1","PIAS1",0
"47","BRMS1","RBBP4",1
"48","BTG1","CDKN2D",1
"49","BTG1","CNOT7",1
"50","BTG1","CTBP1",0
"51","BTG1","IKZF1",1
"52","CCL14","CCL14",0
"53","CCL14","GAA",0
"54","CCND2","CCND2",1
"55","CCND2","CDK4",1
"56","CCND2","CDK6",1
"57","CCND2","CDKN1A",1
"58","CCND2","IKZF1",0
"59","CCND2","PSMC1",1
"60","CCND2","PSMC2",1
"61","CCND2","PSMD5",1
"62","CCND2","TEX11",1
"63","CCND3","CDK4",1
"64","CCND3","CDK6",1
"65","CCND3","CDKN1A",1
"66","CCND3","CDKN2D",1
"67","CCND3","DMRTB1",1
"68","CCND3","FHL3",1
"69","CCND3","LSM3",1
"70","CCND3","PCNA",1
"71","CCND3","PSMC1",1
"72","CCND3","QKI",1
"73","CCND3","SH3GLB2",1
"74","CCND3","TEX11",1
"75","CCND3","TSG101",1
"76","CDK4","CCND2",1
"77","CDK4","CCND3",1
"78","CDK4","CDK4",1
"79","CDK4","CDK6",1
"80","CDK4","CDKN1A",1
"81","CDK4","CDKN2D",1
"82","CDK4","CNOT7",1
"83","CDK4","CTBP1",0
"84","CDK4","EIF4EBP2",1
"85","CDK4","IKZF1",0
"86","CDK4","PCNA",1
"87","CDK4","PIAS1",1
"88","CDK6","CCND2",1
