bait,prey,interactor
TSG101,CEP55,1
CEP55,TSG101,1
IKZF5,IKZF1,1
SH3GLB2,SH3GLB1,1
BTG1,CNOT7,1
SH3GLB1,SH3GLB2,1
DMRTB1,RBFOX2,1
RBPMS,QKI,1
RBPMS,RBFOX2,1
CCND2,CDK4,1
CDKN1A,CCND2,1
BCL2L2,BIK,1
CCND3,CDK4,1
RBFOX2,QKI,1
IKZF1,UBE2I,1
SARNP,DDX39A,1
CDKN1A,PCNA,1
UCHL5,ADRM1,1
PSMC2,PSMD5,1
CDK4,CCND3,1
RBFOX2,RBPMS,1
BNIP3L,BNIP3,1
CDK6,CCND3,1
EXOSC1,EXOSC5,1
BRMS1,NMI,1
CCND2,CDKN1A,1
QKI,RBPMS,1
NMI,BRMS1,1
EXOSC5,EXOSC1,1
CCND3,CDK6,1
STMN2,TEX11,1
CDKN1A,TEX11,1
QKI,RBFOX2,1
KLF3,FHL3,1
UBE2I,PIAS1,1
CDKN1A,CCND3,1
RBFOX2,DMRTB1,1
CDK4,CCND2,1
BNIP3,BNIP3L,1
CCND2,CDK6,1
CDK6,CCND2,1
PIAS1,UBE2I,1
MORF4L1,MRFAP1L1,1
CCND3,CDKN1A,1
PSMD5,PSMC2,1
MRFAP1L1,MORF4L1,1
SUPT4H1,SUPT5H,1
NMI,UBE2I,1
SUPT5H,SUPT4H1,1
PSMD2,PSMC1,1
PSMC2,PSMC1,1
PCNA,CDKN1A,1
DMRTB1,CTBP1,1
CNOT7,CDK4,1
RYBP,RING1,1
BIK,BCL2L2,1
SH3GLB1,SH3GLB1,1
p53,UBE2I,1
DDX39A,SARNP,1
PSMD5,PSMC1,1
ADRM1,UCHL5,1
MORF4L1,MRFAP1,1
VAMP2,STX4,1
